Combination,Accuracy,Precision,Recall,F1-score
"('Flex-Left-1',)",1.0,1.0,1.0,1.0
"('Flex-Left-3',)",1.0,1.0,1.0,1.0
"('Flex-Left-4',)",1.0,1.0,1.0,1.0
"('Flex-Right-5',)",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-3')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Right-3')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-5')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-3', 'Flex-Left-5')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-3', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-2', 'Flex-Right-3')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-4', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-5', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Left-2',)",0.9972067039106145,0.9972604211431028,0.9972067039106145,0.9972089087382169
"('Flex-Left-5',)",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972087594673805
"('Flex-Left-2', 'Flex-Right-3')",0.9972067039106145,0.9972496776966051,0.9972067039106145,0.9972042292296938
"('Flex-Left-1', 'Flex-Right-2', 'Flex-Right-3')",0.9972067039106145,0.9972510419437793,0.9972067039106145,0.9972068798662738
"('Flex-Left-2', 'Flex-Right-3', 'Flex-Left-4')",0.9972067039106145,0.9972604211431028,0.9972067039106145,0.9972089087382169
"('Flex-Left-1', 'Flex-Right-2', 'Flex-Right-3', 'Flex-Left-4')",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972087594673805
"('Flex-Left-1', 'Flex-Right-3', 'Flex-Left-4', 'Flex-Right-5')",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972087594673805
"('Flex-Right-2',)",0.994413407821229,0.9946165566277297,0.994413407821229,0.9944207974934233
"('Flex-Left-1', 'Flex-Left-4')",0.994413407821229,0.9946165566277297,0.994413407821229,0.9944207974934233
"('Flex-Right-2', 'Flex-Left-3')",0.994413407821229,0.994624222620428,0.994413407821229,0.9944181198591665
"('Flex-Left-4', 'Flex-Right-5')",0.994413407821229,0.9946165566277297,0.994413407821229,0.9944207974934233
"('Flex-Right-3', 'Flex-Left-4', 'Flex-Left-5')",0.994413407821229,0.9945879888268156,0.994413407821229,0.994413407821229
"('Flex-Left-1', 'Flex-Right-3', 'Flex-Left-4', 'Flex-Left-5')",0.994413407821229,0.9945188527590763,0.994413407821229,0.9944176682055975
"('Flex-Left-2', 'Flex-Right-2', 'Flex-Right-3', 'Flex-Left-4')",0.994413407821229,0.9945188527590763,0.994413407821229,0.9944176682055975
"('Flex-Left-1', 'Flex-Right-5')",0.9916201117318436,0.9918769777708325,0.9916201117318436,0.9916289163281861
"('Flex-Left-2', 'Flex-Right-4')",0.9916201117318436,0.9917131711627738,0.9916201117318436,0.9915992386937146
"('Flex-Left-3', 'Flex-Right-4')",0.9916201117318436,0.9918484099699184,0.9916201117318436,0.9916215266559918
"('Flex-Left-1', 'Flex-Left-2', 'Flex-Right-3')",0.9916201117318436,0.9918702687294846,0.9916201117318436,0.9916269453017446
"('Flex-Left-2', 'Flex-Left-4')",0.9888268156424581,0.9890693066474009,0.9888268156424581,0.9888327557577817
"('Flex-Left-3', 'Flex-Left-4')",0.9888268156424581,0.9894307715536765,0.9888268156424581,0.9887824776092933
"('Flex-Left-2', 'Flex-Right-3', 'Flex-Left-5')",0.9888268156424581,0.9892249118448705,0.9888268156424581,0.9888056839410632
"('Flex-Left-3', 'Flex-Left-4', 'Flex-Right-4')",0.9888268156424581,0.989503978330794,0.9888268156424581,0.9888211839971166
