Combination,Accuracy,Precision,Recall,F1-score
"('Flex-Left-1',)",1.0,1.0,1.0,1.0
"('Flex-Right-2',)",1.0,1.0,1.0,1.0
"('Flex-Left-4',)",1.0,1.0,1.0,1.0
"('Flex-Left-5',)",1.0,1.0,1.0,1.0
"('Flex-Right-5',)",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-2')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-3')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-5')",1.0,1.0,1.0,1.0
"('Flex-Left-4', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Left-4', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-2', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Left-4', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Position-Left', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-2', 'Flex-Right-3')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-3', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Left-4', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Right-3', 'Flex-Left-5')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Left-4', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-3', 'Flex-Left-4', 'Flex-Right-4')",1.0,1.0,1.0,1.0
"('Flex-Left-3', 'Flex-Right-4', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-4', 'Flex-Left-5')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-4', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-5', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Right-5', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Left-2', 'Flex-Right-2', 'Flex-Right-3')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Left-2', 'Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-2', 'Flex-Left-4', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-1', 'Flex-Right-3', 'Flex-Left-4', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-2', 'Flex-Right-3', 'Flex-Left-4')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-2', 'Flex-Left-4', 'Position-Right')",1.0,1.0,1.0,1.0
"('Flex-Left-2', 'Flex-Right-3', 'Flex-Left-4', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Right-3', 'Flex-Left-4', 'Flex-Right-5')",1.0,1.0,1.0,1.0
"('Flex-Right-2', 'Flex-Right-3', 'Flex-Right-5', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Left-3', 'Flex-Right-4', 'Flex-Left-5', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Right-3', 'Flex-Left-4', 'Flex-Right-5', 'Position-Left')",1.0,1.0,1.0,1.0
"('Flex-Left-2',)",0.9972067039106145,0.9972460461090565,0.9972067039106145,0.9972027810174336
"('Position-Left',)",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972059284976166
"('Flex-Left-1', 'Flex-Right-5')",0.9972067039106145,0.9972604211431028,0.9972067039106145,0.9972081188347628
"('Flex-Left-1', 'Position-Left')",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972059284976166
"('Flex-Left-2', 'Flex-Right-2')",0.9972067039106145,0.9972460461090565,0.9972067039106145,0.9972027810174336
"('Flex-Left-2', 'Position-Left')",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972059284976166
"('Flex-Right-2', 'Flex-Left-4')",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972059284976166
"('Flex-Right-2', 'Flex-Right-5')",0.9972067039106145,0.9972584316159736,0.9972067039106145,0.9972059284976166
